car_make,car_model,year_release,VIN,price
Suzuki,Daewoo Lacetti,2004,WA1LMBFE8BD159449,67273
Chevrolet,Express 2500,2003,WP0CB2A86CS767061,16926
Toyota,Corolla,1998,TRUXD38J491059664,75530
Mitsubishi,Montero Sport,1997,5J6TF2H57EL695259,30994
Lexus,IS-F,2011,WAUBC48H76K387724,20620
GMC,1500,1996,WA1CMAFE3ED331045,28613
Ford,Probe,1990,2G4WF521541883398,52110
Dodge,Neon,2002,JH4DC231X1S084700,70083
Nissan,Maxima,1997,WAUZL64B41N260769,74119
Lexus,LX,1997,3N1CE2CP8EL251140,40348
Mazda,MPV,1995,3D73Y4CL0AG727659,76219
Chevrolet,1500,1994,WAUDG68E25A027487,45073
Acura,TL,2007,JTDZN3EU3D3762054,36388
Land Rover,Discovery Series II,2002,1GYS4HEF5BR629903,56717
Ford,F-Series,1985,WA1WKAFP2BA673085,11618
MINI,Cooper,2011,5N1AR1NB2BC986851,64333
Subaru,Outback Sport,2002,1N4AL2APXAC529903,46163
Honda,del Sol,1997,SCBZB25E91C058502,13323
Subaru,Impreza,2004,1N6AA0CJ3FN253067,62600
Land Rover,LR4,2012,WAUCFAFH3DN407167,55157
Lincoln,Town Car,2011,5FRYD4H6XEB736166,48916
Mitsubishi,Mighty Max,1993,WAUBF78K59N996172,72946
Ford,Mustang,1992,5NPEB4AC7CH216516,46143
Chevrolet,Express 1500,2003,WAUMGBFL1BA725756,19538
Dodge,D350 Club,1993,3VW4A7AT5DM602859,23828
Nissan,Sentra,2002,WBAYE8C52ED304356,28657
Acura,Legend,1989,WDDGF4HB9DF874513,34526
Mitsubishi,GTO,1991,JA32U2FU9DU229129,19169
Chevrolet,Suburban 2500,2000,KNAGM4AD2E5911143,30745
Hyundai,Tiburon,2005,KMHTC6AD6EU352553,20792
Buick,Skyhawk,1985,1FTEW1CM8EF092842,54332
Ford,Galaxie,1966,WA1WGAFP3EA366031,12576
Volkswagen,Eurovan,1997,WAUFFAFL2AA119158,48643
Ford,Escort,1988,WVGEF9BP1FD577474,79344
Lincoln,LS,2005,3C6TD5MT1CG160396,41833
Toyota,Camry,1998,WBANU53529B819847,73535
MINI,Cooper,2012,1G6DK5EV0A0696246,64552
Jeep,Grand Cherokee,1993,SCFFDAAE0AG657857,47522
Chevrolet,Impala,2004,WAUGVAFR2AA765201,52778
Pontiac,Fiero,1986,JTDJTUD37ED883893,73152
BMW,3 Series,2012,WBAKA4C50CC795975,11562
Infiniti,M,2007,JTEBU5JR3D5856923,75603
Lotus,Esprit,1999,4T3BA3BB0BU295525,51255
Buick,LeSabre,1990,WAUDF78EX8A540225,19019
Volkswagen,Type 2,1986,5NPDH4AE6EH581347,21784
Ford,E350,2011,WBABD53416P420551,47445
Mercury,Mariner,2005,1FTEX1C80AF376945,69249
Ford,Mustang,2005,2FMGK5B88EB120040,42092
Subaru,Impreza,2005,1C4NJPBA4DD318994,43226
Isuzu,Rodeo,1998,2FMDK4AC1AB203130,52053
Chrysler,Town & Country,2000,JN8AF5MR5BT760777,44079
Nissan,200SX,1995,JN1AJ0HP6AM684827,22913
Lexus,HS,2010,1G6DC5EG7A0679782,21696
Ferrari,612 Scaglietti,2009,2G4GN5EX1F9830886,16692
Scion,xD,2010,JH4CW2H67CC721627,23405
Jeep,Liberty,2005,1G6DM5E38C0680713,45908
Mercedes-Benz,300SE,1992,JTDKTUD33ED873205,41198
Oldsmobile,Ciera,1996,5GADX23L75D838705,50282
BMW,Z8,2001,WBA3N9C50EF042633,43595
Mazda,MX-6,1997,1N4AL3AP8DC018717,30253
Pontiac,LeMans,1990,WAUHF98P59A327375,28624
Pontiac,Fiero,1988,WAUDF78E48A360271,41872
Saab,9-2X,2006,WAUDFAFC1DN701742,38385
Chevrolet,Sportvan G10,1993,1G6DV57V790732210,41276
Isuzu,VehiCROSS,1999,WA1YD64B73N285075,23646
Pontiac,Grand Prix,1995,TRUUT28N411065892,70287
Nissan,Maxima,1997,JTHBE1KS1B0017499,72993
Buick,Rendezvous,2006,WAUAKAFBXBN867521,76203
Mazda,B-Series Plus,1998,2HNYD18734H192220,34889
Porsche,Cayman,2007,WBAWC33547P946451,43136
Aston Martin,Vantage,2008,JTMHY7AJ4B5244784,26937
Mazda,Tribute,2004,KMHFC4DF1BA132104,21720
Dodge,Ram Van B150,1993,WBABW33486P623788,41294
Chrysler,PT Cruiser,2003,19UUA75568A638241,75110
Nissan,Altima,2001,WBAYP9C50ED625957,13939
Ford,Explorer Sport Trac,2005,1FTEX1C80AF512720,78525
Ford,Explorer Sport,2003,WAUEFAFL2BA481021,75425
Volvo,XC70,2003,3VWAL7AJ9AM457428,65347
Chevrolet,Silverado 2500,2000,1FTWX3A56AE174805,48550
GMC,2500,1995,3N1AB6AP6CL952301,67370
Mitsubishi,Lancer,2011,WAUCFAFR6BA970291,76134
Mercedes-Benz,S-Class,1998,3N1AB6AP2AL234774,63930
Saturn,VUE,2003,1G6AF5S31D0799092,25632
Subaru,Legacy,2000,WDDLJ7DB0CA278710,27637
Toyota,Tacoma,2008,5NPEB4AC4CH280626,14888
GMC,Sierra 1500,2000,WAUSF78K99N144326,41311
Ferrari,F430,2006,JH4KB16687C043402,38025
Dodge,Dakota,1996,4T1BD1FK2EU770160,59154
Mercedes-Benz,S-Class,2010,3FAHP0CG2CR990716,59889
Maserati,Spyder,2005,WBA3V7C50EJ952574,58058
Chevrolet,Aveo,2011,1G4GF5G33DF565271,65076
Audi,Coupe Quattro,1991,WA1AY94L18D846111,23281
Mitsubishi,Pajero,2006,4T3BA3BB4DU931107,42688
BMW,7 Series,2011,2T1KE4EE6DC403837,67087
Suzuki,Samurai,1993,1G6DP8EV0A0236698,51107
Lincoln,Town Car,2004,1FTSW2B59AE292048,26576
Mercedes-Benz,E-Class,1991,3C63D3EL6CG779322,50339
Plymouth,Breeze,1998,WDDGF5EB4BR783154,77696
Mitsubishi,Chariot,1990,3D7TP2CT6AG674263,58059
Oldsmobile,Bravada,2000,WAUBFAFL7CA789340,61234
Volkswagen,GTI,2001,WAUNF98PX7A596570,30898
Dodge,D250,1993,JN1BV7AP4FM166864,51082
Lotus,Esprit,1985,1G6DX67D680323587,14627
Jeep,Grand Cherokee,2002,1N6AA0CA6CN622743,59762
Mitsubishi,Outlander,2007,1G4HR54K924973273,13420
Mazda,929,1992,WAUFFAFC1DN179297,68475
Lexus,SC,1996,WAUEG78E56A199816,47745
Volvo,S80,2003,1GYS4JEF3BR630443,51840
Dodge,Ram Van 2500,1995,WBA3R5C59FK653301,20345
Lexus,LS Hybrid,2011,JN1CV6FE5AM034999,17391
Smart,Fortwo,2011,1G6DK5EV3A0270082,21474
Chrysler,Pacifica,2006,WAULD64B42N009772,58641
Volkswagen,rio,2000,WDDHF7GB6EB722785,24570
Toyota,Previa,1994,1GKUCHE01AR571353,21093
Maybach,62,2006,3C63D3EL5CG797228,72876
BMW,5 Series,1998,1G6AG5RX7D0770332,53277
Audi,4000CS Quattro,1987,WAULD64B42N159395,66373
Mercedes-Benz,S-Class,1999,JH4CL969X8C343504,55004
Mazda,MPV,1992,WBAVC93577K594851,79228
BMW,550,2006,WAUKFAFL2BN032966,52896
Toyota,Avalon,1997,JTHBE5C2XC5653753,46738
Pontiac,LeMans,1968,1G4GD5ER6CF052799,30141
Plymouth,Prowler,1997,WA1CGAFEXCD639432,35896
Ford,Windstar,1999,ZFBCFAAHXEZ136518,22076
Pontiac,Grand Prix,1962,WBADR63491G522771,19640
Mercury,Cougar,1969,5N1AR2MMXDC439385,38257
Kia,Spectra,2003,1D7RB1GT4AS492745,12314
Chevrolet,Express 3500,2004,2GKALMEK1C6755445,62305
Pontiac,Grand Am,1991,JTEBU5JR1D5689199,57073
Pontiac,Montana,2004,WDCYC3HF9BX552203,76704
Ford,Focus,2004,5UXZV4C5XD0243617,76728
Maserati,GranSport,2005,1G6AJ5S39F0011239,55462
Dodge,Grand Caravan,2007,1FTEX1CM6BK714886,25106
Volkswagen,CC,2013,WP0AB2A9XBS870188,67825
Chevrolet,Colorado,2009,WAUAF98E56A742188,58750
Mercury,Marquis,1984,WAUMV94E39N039613,63451
Ford,Expedition EL,2009,1GD312CG4DF340183,79397
Ford,Taurus,2010,1GYS4BEF8DR551682,38378
Dodge,Grand Caravan,1993,WUATNAFGXCN060984,71244
Cadillac,CTS,2012,3D73Y3CL5BG661959,79075
GMC,1500,1998,1G6AE1R37F0055873,69404
Subaru,Legacy,2002,JM1GJ1T56F1271138,58656
Dodge,Stealth,1995,1N4AA5AP0EC898606,62826
Ford,LTD,1985,JTDKN3DU1A0082914,40403
Lincoln,Continental,1999,1G6KE57Y42U310346,31427
Dodge,Grand Caravan,2012,5N1BA0NE2FN616915,23722
Panoz,Esperante,2005,JTDKDTB31C1002621,61989
Chevrolet,Malibu,2008,5J8TB1H20CA874349,36015
Toyota,Tacoma Xtra,1995,KNADM4A31E6700584,27661
Subaru,Impreza,2007,1B3BD2FB6BN802254,61721
GMC,Savana,2009,WA1DKAFP5CA979738,40273
Subaru,Legacy,1998,WAUKH98E48A877888,71358
Volkswagen,Jetta,1987,1B3BD1FB5BN502196,61032
Buick,Century,1997,5N1AA0ND2EN584470,11062
Saturn,S-Series,2001,1C4RDJDGXDC329107,78072
Oldsmobile,88,1999,1FMCU5K39AK022129,16690
Jaguar,S-Type,2004,WAUBFAFL0AN293270,70987
Chevrolet,Blazer,2001,WAUSFAFL6BA745439,54316
Chrysler,300C,2005,4T1BD1EB4EU986657,55284
Toyota,FJ Cruiser,2007,1FADP5AU3EL750919,41131
Oldsmobile,88,1992,1G6DL1E30D0339559,62639
Infiniti,IPL G,2012,4T3BA3BB8EU940491,59125
Subaru,Justy,1993,1G4GF5G36FF051143,53583
Mitsubishi,Montero,2001,WP0AB2A98FS004088,78054
Dodge,Neon,1996,WBAVB17556N272592,31481
GMC,Jimmy,2001,1C4RDHDG0DC803588,74657
Ford,Contour,1998,JN8AZ1MU2CW912311,52496
Land Rover,Range Rover,2009,WBABD33436J246554,37182
Daewoo,Nubira,1999,WAUDGBFL3DA546184,31907
GMC,Vandura 1500,1992,3N1AB7APXFY016033,20918
Geo,Prizm,1994,1D4PT4GX9BW934564,70985
Isuzu,Rodeo,2000,1GYS3CKJ9FR288557,66775
Chevrolet,Beretta,1995,KNADH4A39A6436593,77707
Nissan,Quest,1994,WBALW7C55CD199214,69739
Chevrolet,Tahoe,2003,WAUXU64B22N599522,58909
Audi,A4,2006,SCFAD01E09G523396,10000
Mazda,B-Series Plus,1997,JTDJTUD3XED158644,22504
Porsche,911,2002,WA1KK98R39A506367,68390
Ford,GT500,2009,WBAKG1C55CJ279619,57641
Saab,9-5,1999,5UXFE83549L661221,36182
Pontiac,Sunfire,2001,1G6KH5E60BU596009,11630
Cadillac,STS-V,2006,JH4KB2F59BC131512,39561
Acura,Vigor,1992,WAUKF78E58A395330,60903
Eagle,Talon,1991,3N1BC1AP8AL109136,73987
Chevrolet,Malibu,2013,WAUFFBFL1DN770803,49637
Chrysler,Concorde,2002,1GKKRNED2BJ511668,62875
Mercury,Cougar,1968,1G6DN57U560606186,21371
Ford,Thunderbird,1967,WVGAV7AX5BW835887,76728
Hummer,H1,2001,1FTEX1CV6AF765031,16455
Dodge,Caravan,2007,WAUUFAFHXAN166482,71177
Mercury,Capri,1985,5N1AA0ND2FN552572,58447
Cadillac,Catera,2000,2T2BK1BA7EC878712,61267
Mercury,Cougar,1986,KM8JT3AC0AU266436,32462
Pontiac,Sunbird,1994,19VDE1F34FE713955,20228
Dodge,Dakota,1999,3VW1K7AJ8FM116676,53152
GMC,Sierra,2011,19UUA65625A284166,32674
Honda,Accord,2005,1YVHZ8BA1A5487625,50791
Chevrolet,Caprice,1983,WAUPEAFM1DA994185,79094
Lincoln,Town Car,2005,3VWF17AT7FM981505,10618
Suzuki,Reno,2005,WA1CGBFE9ED438730,37039
GMC,Sierra 1500,1999,NM0AE8F74F1542128,75619
Chevrolet,Tracker,2004,WAUML54BX3N485026,18132
Mercury,Sable,1987,1N6AD0CU5AC852932,68613
BMW,6 Series,2006,1G6DF5E52D0560449,64605
Cadillac,Escalade,2009,1G6KF57911U830671,55601
Mitsubishi,Challenger,2004,WBABV13494J521259,23194
Mitsubishi,Precis,1992,WAUEFAFL1CA408501,16649
Hyundai,Veracruz,2011,WAUFMAFC4FN818734,77583
Volkswagen,GTI,2002,WAUR2AFD2EN134145,58998
Lincoln,Continental Mark VII,1989,WA1WKAFP8CA091672,12595
Isuzu,Rodeo,1995,JH4CW2H50DC263261,43086
Lotus,Esprit,1986,WDDPK4HA5CF774085,60836
Mitsubishi,L300,1989,1G4GA5EC4BF697860,64049
Ford,Focus,2007,JN8AZ2KR4BT242278,71890
Honda,Fit,2007,4T1BK3DBXBU955833,31521
GMC,Sonoma Club Coupe,1998,1FA6P0G75F5309330,56774
Ford,E150,2006,SAJWJ0FF9F8500754,69202
Buick,LeSabre,1991,2G4GT5GV9C9087357,44653
Volkswagen,Golf,1997,WBAUL7C53CV066149,32939
Toyota,RAV4,2010,1G6DL1E30D0270470,57065
Mercedes-Benz,E-Class,1984,JTHFE2C21E2247851,74046
Mitsubishi,Mirage,1993,1G6DP8EV8A0037088,78657
Dodge,Nitro,2011,KL4CJHSB2EB858714,26938
Chevrolet,Blazer,2001,5GALVCED1AJ387246,18400
Subaru,Outback,2004,3D7TP2CT9BG889153,73594
Toyota,Camry,2007,SCFFBCBD3AG998547,72586
GMC,Rally Wagon 3500,1992,WVGAV7AX2FW393849,57817
Saturn,S-Series,1996,WP1AE2A27CL389185,30029
Chevrolet,Aveo,2007,WBA3B3C5XFF803742,54714
Honda,Civic,1998,1D4PT4GX4BW929756,66004
Infiniti,QX,1997,1G4GH5G32DF688490,65819
Buick,Skylark,1986,JTDKTUD34DD529574,25973
Audi,S4,2004,5J8TB3H39FL445532,57050
Ford,Freestar,2003,1D4PU5GK4BW665347,63174
Buick,LaCrosse,2011,SCFFDECN4CG184259,76255
Land Rover,Range Rover,1989,WBAKX6C53CC125556,62184
Isuzu,Trooper,1994,1FTWW3CYXAE551405,13558
Lincoln,MKX,2011,1G6DK5EV1A0790541,54895
Volkswagen,GTI,2007,5N1AA0NC3BN765709,38194
Acura,TL,2008,1G6KE57Y31U673560,52927
BMW,6 Series,2005,WBAYF4C58ED382307,60821
Chevrolet,Express 2500,2010,WA1CGBFE9CD620103,77324
Lincoln,LS,2005,1FTMF1C83AK603003,46962
Jeep,Commander,2009,YV140MAK8F1313013,52077
Lotus,Exige,2006,SCFFDCCD7CG031192,30780
Toyota,Camry Hybrid,2012,3GTU2YEJ5BG995255,35025
Mercedes-Benz,500SEL,1992,2G4GT5GV2C9295595,68688
Mazda,MX-6,1990,WAUDG78E76A957182,22583
Chevrolet,Corvette,2012,1G6DS8E37C0647810,19380
Infiniti,J,1993,3D7TT2CT7BG225123,46762
Toyota,Matrix,2009,5TDBW5G17FS364649,42836
Mercedes-Benz,G-Class,2009,5N1AN0NW8EN603920,34354
Acura,RDX,2008,1GYFC43519R269403,10574
Volkswagen,Jetta,2000,KMHHT6KD8AU513239,57790
GMC,Savana,2010,WAUPN94E38N378836,26574
Chevrolet,Venture,1998,JTHBE1D26F5241664,50090
Chevrolet,Blazer,1998,WAUVC68E95A981315,52405
Toyota,Celica,1982,1N4AL2AP1CN501396,12064
Pontiac,G6,2006,1C6RD6FP1CS178616,58679
GMC,Savana 3500,1999,1GT3C0BG2AF410943,30640
Mazda,Protege,2003,WUAAU34298N384660,79161
Suzuki,Swift,1999,1D7RW5GK8BS522026,49725
Lexus,ES,1999,2B3CK8CT8AH300119,12549
Chevrolet,SSR,2004,5NPDH4AE4DH774157,30396
GMC,Yukon,2008,WVWAB7AJ7CW947889,58421
Mercury,Cougar,1995,JHMFA3F27AS735578,53097
Plymouth,Neon,2001,1FAHP3FN3AW009203,24506
Volvo,XC70,2007,1G6DJ8EG1A0561962,11051
Mercedes-Benz,R-Class,2012,1GYS3HEF7CR587030,74018
Mercedes-Benz,SL65 AMG,2006,KMHEC4A45DA596479,36100
Volkswagen,Scirocco,1984,5J6TF3H55FL575080,25222
Audi,Q7,2007,5N1CR2MN5EC380457,53900
Volkswagen,Type 2,1991,KMHGC4DEXAU019714,33240
Mitsubishi,GTO,1993,3N1AB6AP1AL841930,16330
Scion,xD,2012,WBAKF3C59DJ776124,33020
Saab,9-3,2011,2G61N5S32F9386559,63022
Mitsubishi,Mirage,1985,5J8TB3H71GL439390,43223
Mercury,Tracer,1992,5N1AA0ND1EN072148,73774
Suzuki,Swift,1996,5TFCM5F11AX023357,37566
Mazda,MX-5,2011,2HNYB1H45CH562917,72727
Dodge,Charger,2012,5XXGM4A74FG484557,61360
Hyundai,XG350,2004,1GD22XEG2FZ527474,27474
Honda,Civic,1989,2C4RDGEG6DR602990,16557
Audi,S4,2006,WAUKG94F26N524539,50151
Nissan,Frontier,2002,WAUEH78E08A139989,48593
Dodge,Stratus,2003,19XFA1E30AE032391,48244
Ford,Crown Victoria,2011,3VW507AT4FM936133,35863
Ford,Taurus,2002,WA1CV94L57D087740,67838
Lexus,LX,2009,3GTU2YEJXDG511843,79789
Chevrolet,Express 1500,2001,5FRYD4H21GB525986,70439
Lexus,GS,1993,WAURGAFD7EN391061,35430
Chrysler,Sebring,2007,KL4CJESBXDB634586,15944
Hummer,H1,1995,1HGCP2E36AA977468,65020
Honda,S2000,2008,3VW507AT5FM177704,47054
Porsche,968,1992,WAUFEAFM2DA128748,52396
Mercury,Sable,2008,1FMJK1G56CE274129,54955
Suzuki,Daewoo Magnus,2006,1GYS3GEFXBR335796,68755
Lexus,IS,2002,WP0AA2A86AU806338,78975
Chevrolet,Corsica,1993,1G4GL5E37CF562352,71625
Maserati,GranTurismo,2010,WBALW7C59DD658746,26069
BMW,6 Series,2004,1GYFC53219R541282,15359
Volkswagen,Corrado,1991,WBAWL7C54AP653065,11590
Mazda,MX-5,2007,2C3CCACG4CH784402,38362
Chevrolet,Traverse,2009,1FTFW1E86AF615791,37374
Dodge,Ram Van 1500,1995,WDDGF5EB9BR423748,45271
Ford,Explorer,1994,WDDLJ6FBXFA678365,36209
Jaguar,XJ Series,2001,3FADP4AJ5EM715135,16525
GMC,1500 Club Coupe,1993,1G6ET12911B320306,23241
Mitsubishi,Pajero,1988,1GYFC26249R389363,16723
Mercedes-Benz,SLK-Class,2006,5N1AR2MM4DC914352,30933
Mercedes-Benz,R-Class,2006,WAUXU64B23N893715,41692
Mercedes-Benz,E-Class,2006,5UXKR2C50E0610911,60836
Volkswagen,New Beetle,2008,1G4GE5EVXAF929849,21203
Dodge,Viper,2006,WAUMGBFL2CA427685,76511
Lincoln,Navigator,2001,JN1CV6AP7BM516349,32986
Ford,Thunderbird,1993,WAUKFAFL2DA586695,73075
Chevrolet,Silverado 3500,2004,JM3TB2CV7F0704335,30509
Tesla,Model S,2012,WAUGL98E65A139851,15147
Kia,Optima,2004,WBA6B2C5XED996752,57236
Lincoln,Town Car,1997,1G4GF5E38CF272211,35288
Ford,Contour,1996,4A37L2EFXAE337193,24035
Volvo,850,1994,1N4AL2AP5BN224864,53046
Porsche,911,2000,4USCN53442L195655,71969
Toyota,Land Cruiser,2001,1GYS4AEF0CR063559,59245
Mazda,MPV,2000,2C3CCAGG2FH586173,32074
Chevrolet,Prizm,1998,4A31K2DF0CE882624,14755
Pontiac,Vibe,2005,WBAKX8C5XBC965344,14617
Dodge,Neon,2005,TRURD38J981629410,41094
Jaguar,XK Series,2003,JA32U2FU7FU543266,36711
Honda,Odyssey,2002,1GD220CG5CZ297404,36820
Honda,Insight,2004,YV440MBK6F1261155,22982
Chevrolet,Blazer,2000,WAUZL54B61N658866,14399
Chevrolet,G-Series 1500,1996,WBAFU9C51CD372418,41537
Ford,Bronco II,1988,1G6DE8EY9B0734531,64470
Mitsubishi,Endeavor,2005,1FTMF1EW5AF394142,73668
Kia,Rio,2004,1N6AF0LY2FN992378,73744
Pontiac,Vibe,2003,WBSBR93442P958126,77002
Toyota,Celica,1984,JH4DC53036S339123,59446
Mazda,GLC,1984,1FTWF3C56AE457351,59164
Ford,F-Series,2001,3GTXCYEJ4AG254104,47707
Honda,Odyssey,2008,4JGCB2FE8CA469255,29424
GMC,Sierra 3500,2000,1FBNE3BL0CD116278,24040
Toyota,T100 Xtra,1997,WAUBH78E96A745811,74969
Lamborghini,Gallardo,2005,SCBLC47J77C815365,50433
Cadillac,CTS-V,2011,JH4CU25689C761797,17693
Audi,Coupe Quattro,1990,2G4GK5EX4F9524712,65483
Alfa Romeo,Spider,1994,2C3CDXFG3EH634442,62174
Oldsmobile,Achieva,1992,1GKS2GEJ5DR814048,24432
Ford,Focus,2000,WAUML64B84N600326,24968
Dodge,Dakota,2006,YV1672MK2D2989257,45445
Chevrolet,S10 Blazer,1993,1D7RB1CTXBS548632,54832
Dodge,Dakota,2011,KM8JT3ACXAU093623,79104
Mitsubishi,Excel,1987,3C63DRGL8CG870687,35356
Toyota,Avalon,2005,JN8AE2KP6B9362980,60813
Lexus,LX,2006,WAUEH48H88K176856,79207
Pontiac,Firebird,1988,WAUUL78E58A395104,64288
Dodge,Ram Van 1500,1997,1FTWF3D51AE985099,13650
Mercedes-Benz,CLK-Class,2009,5GAKRBKDXDJ920861,77885
Mitsubishi,Eclipse,2003,WAUWFAFR2EA081327,42329
Mitsubishi,Tredia,1984,JH4CU2E69BC126612,67583
Mitsubishi,Eclipse,2001,3D73M3HL8BG941525,76098
Buick,LeSabre,1988,1NXBE4EE8AZ787842,63925
Honda,del Sol,1993,WA1AY74L57D403544,66859
Buick,Riviera,1996,WBA6B2C59DD044176,46272
Lexus,GS,2003,WAUEF78E67A370514,28802
Mercury,Capri,1984,VNKJTUD31FA304763,26006
Mitsubishi,Lancer Evolution,2002,JTEBU4BF1CK077969,34411
GMC,Savana 2500,2000,5FRYD3H45FB682270,64125
Mazda,B-Series Plus,2000,2C3CCAAG6CH543637,14002
Audi,5000S,1984,5UXZV4C58BL971142,27331
Ford,F350,1995,WBASN2C54CC856866,48406
Chevrolet,Silverado 1500,2005,WAUKG68E85A172010,78702
GMC,Savana 2500,2009,5FPYK1F62EB390694,44411
Ford,Laser,1986,WAUKF98E65A616439,74886
Nissan,NV3500,2012,WVGFF9BP4BD882787,41463
Suzuki,Swift,1987,5BZBF0AA5FN636181,43938
Infiniti,G37,2011,3D4PH6FV0AT428770,66169
Mazda,Mazda6,2003,JHMFA3F25AS070048,55723
Toyota,Camry,2008,KNAFU6A27C5699181,10383
Chrysler,Imperial,1993,YV1672MKXB2065274,44034
Subaru,Alcyone SVX,1994,4T1BF1FK8DU571526,29189
Dodge,Stealth,1992,WA1WMBFE6AD251526,47439
Saturn,L-Series,2000,3FA6P0PUXER758939,73223
Ford,Transit Connect,2013,4USCN33412L983863,78386
Chevrolet,Corvette,1972,WDCYC3HF2CX528987,54762
Volvo,S60,2001,WAUEF78E98A150267,65075
Chevrolet,Suburban 2500,2011,WBABV13435J461366,29276
Dodge,Ram 1500,1995,JN1AZ4EH1FM944412,40981
Alfa Romeo,164,1992,WAUDH48HX8K167913,69863
Maserati,Biturbo,1987,1G6AA1RX2F0157502,35488
Mercury,Grand Marquis,1998,KNAFU6A26C5046700,21752
Mercury,Topaz,1987,1G6DK5E31C0917855,71905
Hyundai,Azera,2009,JN1AY1AP7DM702848,58707
Austin,Mini,1963,19UYA42643A667758,53163
Cadillac,DeVille,1993,1G4GL5G38DF177526,28820
Oldsmobile,Cutlass,1999,WAUKD98P49A194152,22825
Acura,TL,2001,WA1LGAFE9CD131713,75617
Kia,Forte,2011,19UUA56742A103145,42074
BMW,7 Series,2008,WAUDV74F97N104216,50321
Subaru,Outback,2009,WBABN33492P483571,48761
Mitsubishi,Cordia,1985,WAUBF98E18A007506,27755
Toyota,Celica,1982,2C3CCAKT1CH434546,45349
Buick,Century,1998,JH4CL95947C465467,30048
Subaru,Brat,1987,JH4DC54873S318503,72736
Isuzu,Trooper,1996,1G6DF8E55D0916930,38139
Ford,F350,1995,KM8JT3AF1EU808028,55018
Toyota,Corolla,2007,SCBCR63W36C157294,51550
Audi,A8,2003,3VW467AT2DM486893,26422
Land Rover,Range Rover,2011,5FRYD3H41GB112333,44285
Audi,R8,2010,KNALW4D40F6105429,41325
Kia,Sportage,2011,1G6AH5R31E0314547,23139
Suzuki,XL-7,2007,1FA6P8AM4F5596527,57561
Saab,9000,1994,1G4HC5EM0AU936774,75423
Buick,LeSabre,1998,WVGAV3AX0EW009316,46681
Audi,S6,1995,WBXPA73444W778536,40698
Infiniti,QX56,2007,2HNYD28508H836816,73066
Buick,Century,2001,1GKS1EEF4DR114752,56729
Pontiac,Grand Am,2000,WBA3A5C5XFP235565,30252
Holden,VS Commodore,1997,WAUBFAFL7DN922785,19222
Land Rover,Discovery,2005,ZHWGU5BZ4DL879106,63748
Ford,Escort,1995,WVGEF9BPXFD900811,49054
Toyota,Land Cruiser,1993,WAUKD98P36A078341,39504
Chevrolet,3500,1999,5FPYK1F20CB107820,60427
Mitsubishi,Outlander,2011,1GKS1CKJXFR106154,60322
Ford,Explorer Sport Trac,2005,5J6TF3H34CL894917,17613
Toyota,Previa,1991,WA1WMAFE2DD943054,17867
Isuzu,Trooper,1997,WBAKX8C58CC844541,44174
Chevrolet,Tahoe,2010,WAUKFAFL3DN160071,33494
Pontiac,Montana,2006,JTDKDTB30D1649271,54957
Audi,R8,2010,3D73M4HL0BG226700,25011
Chevrolet,Silverado 3500,2001,5GAKRCKD1FJ991794,43425
Suzuki,SJ,1991,WAUWFAFH3BN461174,12091
Ford,Probe,1990,WBAWC7C59AE373928,73245
Toyota,Tacoma,2010,WBASN2C57DC194069,64371
Ford,Escort,1989,2C3CCAAG0FH655791,27728
Chevrolet,Corvette,2004,1C3CC5FB6AN470908,48614
Mazda,Miata MX-5,1995,WBA3D3C59EF724491,17486
Mercury,Marquis,1985,WAUSG74F99N144252,43424
Mercedes-Benz,SLR McLaren,2006,KMHTC6AD4FU820474,13356
Morgan,Aero 8,2009,3D7JV1EP8AG386509,61630
Pontiac,LeMans,1968,3LNDL2L33CR646630,11932
Lexus,RX,2008,1G6AB5RX2F0353654,62325
Jeep,Compass,2007,WAUGL78E85A838550,69628
Saturn,VUE,2004,JN1CV6FE9BM382709,43153
Mercedes-Benz,CLK-Class,2004,5NPDH4AE8BH164212,66037
BMW,760,2005,WAULT68E92A271222,77302
GMC,Suburban 2500,1993,1GKUCKE05AR933939,32444
BMW,525,2004,1G6DC1E3XC0126780,76912
GMC,Yukon,1997,WAUPFBFM7BA664633,13803
Daewoo,Leganza,2002,JH4CU4F66CC750640,54563
Lamborghini,Diablo,1999,1D7CE5GK4AS121919,73167
Jeep,Wrangler,2003,2D4RN1AG3BR932876,59520
GMC,Sierra 1500,2003,2HNYD28858H957528,22910
Suzuki,XL-7,2004,1G6AK5S39F0800620,55274
Mitsubishi,Eclipse,2006,5TDBK3EH1BS940732,73143
Volkswagen,Cabriolet,1986,WVWAA7AJ9CW453147,31235
Dodge,Nitro,2007,WBA3B3G58EN603568,61175
Mercedes-Benz,CL-Class,1999,KMHTC6AD5CU640853,70560
Ford,E-Series,1988,WUATNAFG3CN876015,30845
Hyundai,Elantra,2002,SALSF2D48AA550700,62241
Saab,9-3,2002,2HNYB1H65DH443784,24952
Buick,Riviera,1999,WAUKD78P77A146985,55325
Spyker,C8 Spyder,2004,2T3BF4DV9CW897582,40850
GMC,Yukon XL 2500,2007,1HGCR2F36EA907788,16061
Chevrolet,Camaro,1968,2FMGK5DC4AB027107,78784
Pontiac,Bonneville,2005,2HNYB1H65DH972698,51757
Chrysler,Sebring,1997,2G4WS52J121683207,15822
Hyundai,Accent,2010,19VDE3F77EE412268,13788
